기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20254,D,발달상권,3120120,화곡역,CS300002,편의점,2718873825,306801,1979615226,739258599,381639552,377498473,408588515,370958982,440929704,412789884,326468715,101748738,329787806,365320955,476069861,1012632623,433313842,1116553010,1602320815,69998507,712434108,777988231,485524129,452919500,220009350,228301,78500,43331,44008,49375,44070,47517,42880,35620,14170,68150,41611,43065,94205,45600,150726,156075,5263,80992,89471,53557,48610,28908
20254,D,발달상권,3120121,까치산역,CS300002,편의점,1376437457,176353,934642557,441794900,178157437,175660297,197944947,181201403,201678473,227819668,213975232,222528528,117383286,120184015,167956883,390135790,358248955,810275261,566162196,7116141,353751979,483315374,272652862,185749388,73851713,120581,55772,22600,22690,25963,23061,26267,28849,26923,25478,17799,17950,22175,51575,41376,103747,72606,1212,52438,61508,31059,20642,9494
20254,D,발달상권,3120122,강서구청,CS300002,편의점,3912092036,448435,2724241989,1187850047,484353336,523872532,576850411,536951344,602214366,619416660,568433387,602856424,438418713,411191146,526857471,1089054810,843713472,2303295819,1605221120,28431653,755769167,1173861703,941961962,654825798,353666656,314992,133443,56833,60839,67483,63028,66809,70518,62925,71620,63144,49655,54287,117581,92148,285251,162910,3371,88926,133946,103090,76682,42146
20254,D,발달상권,3120123,오류동역,CS300002,편의점,3645391310,368937,2481468833,1163922477,436249751,467029915,530795258,492059258,555334651,625298169,538624308,345536667,288239038,456738914,622305657,1263972115,668598919,1755451016,1889940294,39868617,843037749,1146535585,660416843,574116353,381416163,255012,113925,46691,48823,52753,51119,55626,59245,54680,42908,41132,42096,50201,117238,75362,199254,169683,5090,92325,124022,58565,52535,36400
20254,D,발달상권,3120125,구로역,CS300002,편의점,895147073,117770,740800773,154346300,176401756,142871521,145381484,138339600,137806412,83435420,70910880,53323088,206474436,149166347,186350371,207093129,92739702,566461822,166561984,3497419,65662515,249930407,179020414,145276787,89636263,94652,23118,18121,18662,20505,18775,18589,12747,10371,6847,34329,23317,17977,23060,12240,81461,29979,947,13104,36066,27499,21200,12625
20254,D,발달상권,3120127,구로구청,CS300002,편의점,1207298243,181932,889529110,317769133,177593753,173909530,191929017,172138187,173958623,157111195,160657938,98004552,156146712,153058976,160070549,375227192,264790262,730729822,476568421,9435459,217367615,416069624,263114661,202878921,98431963,133392,48540,25945,26181,28639,26772,25855,24327,24213,13204,27154,25319,24331,54761,37163,107676,74256,2777,38567,62084,35286,28650,14568
20254,D,발달상권,3120128,신도림역,CS300002,편의점,813406850,69380,541565170,271841680,99100482,77414516,121593276,111774977,131681919,162906056,108935624,4511612,36279308,154221480,194864878,366206798,57322774,324788315,487026238,7226763,204811641,249022151,148096430,118222500,84435067,46958,22422,8138,7969,10110,9836,10905,13349,9073,753,5576,11401,15023,28455,8172,35530,33657,869,17266,20608,12675,10212,7558
20254,D,발달상권,3120129,구로디지털단지,CS300002,편의점,3905223615,598330,3437817588,467406027,673993572,693410396,728013019,659881864,682518737,269074981,198331046,62247707,994357033,948783080,642552935,951339859,305943001,2239427125,1433470439,11669056,752951960,1338388787,879992660,525871828,164023275,543247,55083,110248,109358,116103,104498,103040,31725,23358,9292,192745,150770,96826,114566,34131,373344,209548,2274,132343,220634,128123,74952,24569
20254,D,발달상권,3120130,구로디지털단지역,CS300002,편의점,3063691107,373822,2165114426,898576681,393478664,421249122,443900759,419063299,487422582,534884948,363691733,393106841,272430519,270855811,402584946,1061621921,663091069,1581613191,1482077916,28816587,948358082,1067857975,468165676,366991151,183501636,264143,109679,46639,50613,56455,50991,59445,62721,46958,54795,49102,34148,43685,114109,77983,221846,151976,3919,116423,133411,52772,43087,24210
20254,D,발달상권,3120131,가산디지털단지,CS300002,편의점,16821533307,2526037,14644401325,2177131982,2945797895,2965470840,3120044337,2776311006,2836777247,1206591197,970540785,407057072,4183819923,4003485247,2973167781,4106123344,1147879940,10049455180,5730820686,66188088,3307396618,5638492945,3543844031,2368014579,856339603,2265431,260606,455556,460457,489354,432686,427378,144583,116023,57809,771689,632334,420898,495934,147373,1641194,800608,12448,537482,911622,524377,334582,121291
20254,D,발달상권,3120132,독산동,CS300002,편의점,1852167113,257282,1337676089,514491024,245153608,256572196,284135881,258505591,293308813,279347287,235143737,221643216,325015628,230239320,232701460,507869066,334698423,1306666822,539924147,9506016,286381130,611351870,395078668,322938418,221334866,189537,67745,34541,36791,41084,37202,39919,36610,31135,27717,51839,36455,32944,66340,41987,181556,75452,2007,46661,84071,49557,45581,29130
20254,D,발달상권,3120134,구로전화국,CS300002,편의점,265931108,34959,190219339,75711769,36455489,36612965,38771040,38078215,40301630,39877828,35833941,48298457,34229949,28123778,29083964,69582577,56612383,167723042,98208066,2561313,53513016,76660022,49970880,49555652,33670225,25178,9781,4870,4947,5136,5055,5170,5143,4638,5286,5368,4109,4000,9237,6959,21901,13058,584,8187,10011,5632,6413,4132
20254,D,발달상권,3120135,양평역,CS300002,편의점,265028824,49411,242766406,22262418,52119042,51675539,51688342,42515651,44767832,11849003,10413415,0,84790693,71515505,41066869,48499850,19155907,169215603,78261026,63842,40789339,76367517,60655288,48471068,21129574,45322,4089,9779,9057,9940,8245,8301,2185,1904,0,17235,14207,7888,7362,2719,31046,17072,28,9631,16099,10357,8603,3400
