상권_코드,상권_코드_명,연평균_매출_금액,연평균_매출_건수,분기_수,연평균_매출_금액_log
3120206,개나리아파트,1281668170.75,176137.0,4,20.971428325552516
3120207,선정릉역,2852475225.0,377610.5,4,21.771452954649643
3120208,청담사거리(청담동명품거리),2541877704.25,317456.75,4,21.656168898898617
3120209,"강남구청(청담역_8번, 강남세무서)",2388996903.5,308994.25,4,21.594139409558814
3120210,선릉역,10093312526.5,1434322.0,4,23.035138915501303
3120211,도성초등학교,321573298.5,63598.0,4,19.588736067879623
3120212,한티역,4079646343.75,459914.0,4,22.129276141397202
3120213,삼성중앙역,1480555947.25,203664.75,4,21.115683494896587
3120214,영동대교남단교차로,806957839.25,95808.25,4,20.508781982304477
3120215,포스코사거리,4262438512.5,652839.75,4,22.173107254466668
3120216,경기고교사거리(경기고교앞사거리),323608591.5,44886.75,4,19.595045295639107
3120217,대치사거리,1037950116.75,199297.25,4,20.760513564417842
3120218,코엑스,987597560.5,197129.0,4,20.7107858463152
3120219,은마아파트,5811956548.0,1110334.0,4,22.483183106542537
3120220,대치역,1800000228.75,301141.0,4,21.31105262948741
3120221,봉은사역,816538254.25,128096.5,4,20.520584322002286
3120222,삼성역,6113261281.0,426250.0,4,22.533726229104776
3120223,휘문고교사거리,225731095.75,45100.5,4,19.23485501142868
3120224,수서역,8678283010.5,1828358.0,4,22.884089536316722
3120225,잠실새내역(신천),4921531828.5,715038.5,4,22.316885666451416
3120226,석촌고분역,1152656404.75,112605.0,4,20.86533503360562
3120227,잠실역,6838867837.0,936370.5,4,22.645888034120564
3120228,석촌역(석촌호수),1367454536.5,214244.75,4,21.036216846735208
3120229,방이동먹자골목,3269305657.25,421016.0,4,21.907843462382292
3120232,송파나루역,98159630.0,15310.5,4,18.40210559919116
3120233,몽촌토성역,3060310268.0,426271.25,4,21.841782142868603
3120234,가락시장역,3639064582.0,422847.25,4,22.014992502877043
3120235,문정역,6329004390.75,900151.5,4,22.56840877664833
3120236,장지역(가든파이브),2185012176.5,250433.5,4,21.504887238704978
3120237,경찰병원역,1456734352.75,217562.25,4,21.099463023411502
3120239,오금역,294890173.25,47408.25,4,19.50211355430875
3120240,개롱역,587567568.5,84397.25,4,20.19150180928412
3120241,거여역,494628823.25,73190.0,4,20.019318189254832
3120242,강동구청역,664767733.0,53985.0,4,20.314948265429944
3120243,천호역,5754083522.5,759758.0,4,22.473175617698605
3120244,암사역,712039133.25,112814.25,4,20.38364343170006
3120245,둔촌역,1928189004.0,248267.25,4,21.37984705996898
3120246,길동역,3024427069.75,449871.5,4,21.82998751239196
3120247,굽은다리역,201801565.5,28189.25,4,19.122795428489926
3120248,명일역,1154852872.75,183311.75,4,20.867238790771754
3120249,고덕역,1336070154.75,197143.75,4,21.012998422471092
3130002,세종마을음식문화거리(금천교시장),1456662226.0,136605.75,4,21.09941350955507
3130010,종로신진시장,258578300.0,41368.0,2,19.37070911126867
3130024,남대문시장(자유상가),441000000.0,73956.5,4,19.904555435678695
3130035,방산종합시장(방산시장),115447103.25,21844.75,4,18.56432301116351
3130036,중부시장(신중부시장),579087013.0,68599.0,1,20.17696330749285
3130042,약수시장,247517070.0,35175.0,1,19.326990111331813
3130051,동화동 골목형상점가,219880961.25,27531.25,4,19.20859687719784
3130054,황학동주방가구거리상점가,103125137.0,12311.333333333334,3,18.45145374080004
3130063,신금호역 골목형상점가,318910278.5,46889.75,4,19.580420365703482
3130066,행당시장상점가,286215546.75,50141.75,4,19.472255748383972
3130067,왕십리도선동상점가,819548203.5,109774.0,4,20.52426377626081
3130068,마장축산물시장,556762527.75,75479.75,4,20.137649367216312
3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",273057446.25,44808.25,4,19.425192760499236
3130070,뚝섬역상점가,573250935.75,88246.5,4,20.166834113804747
3130072,성동용답상가시장,355896970.25,55680.5,4,19.69015184032901
3130086,서울약령시장,220976440.5,26873.0,4,19.21356665425238
3130095,청량리전통시장,1024622053.5,148317.0,4,20.747589654223077
3130098,회기시장,65472412.5,11472.5,2,17.997139443950424
3130117,정릉시장,635975975.5,84721.0,4,20.270671347792245
3130133,우이골목시장(우이시장),384021766.75,55904.0,4,19.76620979579432
3130139,강북종합전통시장(강북종합골목시장),277049843.5,34727.75,4,19.439707992006948
3130145,쌍문역둘리상점가,358474525.0,50227.25,4,19.697368158296563
3130146,쌍문시장(쌍문역골목시장),124371891.5,12114.0,4,18.63878676820628
3130153,창동역상점가,1879417568.5,304760.0,4,21.354227762331817
3130163,응암오거리상점가,1415051015.0,181371.0,4,21.07043142110194
3130167,연신내상점가(연빛거리),951414856.75,143676.5,4,20.67346075856324
3130171,불광먹자골목 골목형상점가,239688323.75,34624.25,4,19.29484999045865
3130179,"이화여대 3,5,7길 상점가",128844372.25,22748.75,4,18.674115825114175
3130185,망원월드컵시장,501614990.6666667,22501.666666666668,3,20.033343434529073
3130191,홍대 걷고싶은 거리,1551266973.5,291853.0,4,21.162337836888977
3130195,도화동 상점가,323032637.75,47329.5,4,19.59326392484346
3130210,목2동시장,443248114.0,75934.5,4,19.909640250230474
3130214,송화벽화시장(송화골목시장),231843271.0,48276.75,4,19.261572149618562
3130225,개봉중앙시장,444764684.75,67028.25,4,19.91305590420115
3130236,비단길현대시장(현대시장),208773877.0,29845.75,4,19.156762300782443
3130240,영등포유통상가,235973864.25,35126.0,4,19.279231616391606
3130241,선유도역 골목형상점가,433792329.5,61195.0,4,19.888076476394396
3130246,영등포청과시장(조광시장),122374337.5,19251.0,4,18.622595253284505
3130248,영등포역지하도상점가,756942936.75,128282.0,4,20.44479842910216
3130271,남성역골목시장,39000000.0,5196.5,4,17.479072229734946
3130285,서원동상점가,1870646145.5,167739.5,4,21.349549741017867
3130290,영림시장,323175937.0,52463.0,4,19.593707432582306
3130295,인헌시장(원당종합시장),175542262.0,26355.5,2,18.983390386693777
3130310,강남개포시장,322388703.0,54602.75,4,19.591268530762086
3130311,새마을시장,243827270.75,33206.5,4,19.31197062991214
3130313,방이시장,954231205.0,141520.75,4,20.676416554347195
3130314,풍납시장,93604047.75,12108.25,4,18.35458419638838
3130318,로데오거리상점가,1637952888.5,220801.75,4,21.216713060974673
3130323,둔촌역전통시장,102745089.75,14384.0,4,18.447761631610376
